x,y,sdr,tke
    0.9700840484E+00,    0.4882656842E-01,    0.6924936213E-07,    0.4955565502E-09
    0.9700840484E+00,    0.5033871212E-01,    0.6924948911E-07,    0.4955575350E-09
    0.9700840484E+00,    0.5189768644E-01,    0.6924961978E-07,    0.4955585484E-09
    0.9700840484E+00,    0.5350494170E-01,    0.6924975425E-07,    0.4955595913E-09
    0.9700840484E+00,    0.5516197316E-01,    0.6924989263E-07,    0.4955606643E-09
    0.9700840484E+00,    0.5687032236E-01,    0.6925003503E-07,    0.4955617684E-09
    0.9700840484E+00,    0.5863157861E-01,    0.6925018154E-07,    0.4955629044E-09
    0.9700840484E+00,    0.6044738041E-01,    0.6925033230E-07,    0.4955640731E-09
    0.9700840484E+00,    0.6231941702E-01,    0.6925048740E-07,    0.4955652754E-09
    0.9700840484E+00,    0.6424943002E-01,    0.6925064697E-07,    0.4955665123E-09
    0.9700840484E+00,    0.6623921492E-01,    0.6925081113E-07,    0.4955677846E-09
    0.9700840484E+00,    0.6829062284E-01,    0.6925097999E-07,    0.4955690932E-09
    0.9700840484E+00,    0.7040556222E-01,    0.6925115369E-07,    0.4955704392E-09
    0.9700840484E+00,    0.7258600061E-01,    0.6925133235E-07,    0.4955718236E-09
    0.9700840484E+00,    0.7483396650E-01,    0.6925151610E-07,    0.4955732472E-09
    0.9700840484E+00,    0.7715155119E-01,    0.6925170507E-07,    0.4955747112E-09
    0.9700840484E+00,    0.7954091076E-01,    0.6925189940E-07,    0.4955762165E-09
    0.9700840484E+00,    0.8200426804E-01,    0.6925209923E-07,    0.4955777643E-09
    0.9700840484E+00,    0.8454391473E-01,    0.6925230469E-07,    0.4955793555E-09
    0.9700840484E+00,    0.8716221349E-01,    0.6925251594E-07,    0.4955809914E-09
    0.9700840484E+00,    0.8986160014E-01,    0.6925273311E-07,    0.4955826730E-09
    0.9700840484E+00,    0.9264458596E-01,    0.6925295635E-07,    0.4955844015E-09
    0.9700840484E+00,    0.9551375998E-01,    0.6925318582E-07,    0.4955861779E-09
    0.9700840484E+00,    0.9847179142E-01,    0.6925342167E-07,    0.4955880036E-09
    0.9700840484E+00,    0.1015214322E+00,    0.6925366405E-07,    0.4955898796E-09
    0.9700840484E+00,    0.1046655193E+00,    0.6925391312E-07,    0.4955918073E-09
    0.9700840484E+00,    0.1079069779E+00,    0.6925416904E-07,    0.4955937877E-09
    0.9700840484E+00,    0.1112488235E+00,    0.6925443198E-07,    0.4955958222E-09
    0.9700840484E+00,    0.1146941649E+00,    0.6925470209E-07,    0.4955979120E-09
    0.9700840484E+00,    0.1182462075E+00,    0.6925497954E-07,    0.4956000584E-09
    0.9700840484E+00,    0.1219082558E+00,    0.6925526451E-07,    0.4956022627E-09
    0.9700840484E+00,    0.1256837165E+00,    0.6925555715E-07,    0.4956045261E-09
